sol,attitude,imageid,caption,sample_type,date_taken_mars,credit,date_taken_utc,json_link,link,drive,title,site,date_received,extended_mastAz,extended_mastEl,extended_sclk,extended_scaleFactor,extended_xyz,extended_subframeRect,extended_dimension,image_files_medium,image_files_small,image_files_full_res,image_files_large,camera_filter_name,camera_camera_vector,camera_camera_model_component_list,camera_camera_position,camera_instrument,camera_camera_model_type
15,"(0.996207,0.00588069,-0.0132222,0.0858027)",NLE_0015_0668275956_042ECM_N0030188NCAM00400_05_0LLJ,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Mar. 6, 2021 (Sol 15) at the local mean solar time of 13:33:50.",Full,Sol-00015M13:33:50.884,NASA/JPL-Caltech,2021-03-06T09:43:34.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLE_0015_0668275956_042ECM_N0030188NCAM00400_05_0LLJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLE_0015_0668275956_042ECM_N0030188NCAM00400_05_0LLJ,188,Mars Perseverance Sol 15: Left Navigation Camera (Navcam),3,2021-03-06T10:13:12Z,51.8071,-12.7297,668275957.209,1,"(5.80078,2.95615,0.102654)","(1,953,1288,976)","(1288,976)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275956_042ECM_N0030188NCAM00400_05_0LLJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275956_042ECM_N0030188NCAM00400_05_0LLJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275956_042ECM_N0030188NCAM00400_05_0LLJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275956_042ECM_N0030188NCAM00400_05_0LLJ01_1200.jpg,UNK,"(0.9418517628895835,0.3317605978032015,0.053386913069084656)","(1.05937,0.538469,-1.94625);(0.592351,0.77276,0.227986);(-809.106,3807.65,581.851);(168.933,236.261,3105.92);(0.591204,0.773604,0.228098);(2e-06,0.049535,-0.015973);(-0.003612,0.013016,-0.023961);2.0;0.0","(1.05937,0.538469,-1.94625)",NAVCAM_LEFT,CAHVORE
15,"(0.996207,0.00588069,-0.0132222,0.0858027)",NLE_0015_0668275677_973ECM_N0030188NCAM00400_16_0LLJ,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Mar. 6, 2021 (Sol 15) at the local mean solar time of 13:29:20.",Full,Sol-00015M13:29:20.252,NASA/JPL-Caltech,2021-03-06T09:43:32.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLE_0015_0668275677_973ECM_N0030188NCAM00400_16_0LLJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLE_0015_0668275677_973ECM_N0030188NCAM00400_16_0LLJ,188,Mars Perseverance Sol 15: Left Navigation Camera (Navcam),3,2021-03-06T10:13:12Z,340.453,-12.8188,668275679.037,1,"(5.80078,2.95615,0.102654)","(3833,2873,1288,968)","(1288,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275677_973ECM_N0030188NCAM00400_16_0LLJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275677_973ECM_N0030188NCAM00400_16_0LLJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275677_973ECM_N0030188NCAM00400_16_0LLJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275677_973ECM_N0030188NCAM00400_16_0LLJ01_1200.jpg,UNK,"(0.8007378167246729,0.2532631222877472,0.5428413578165041)","(0.866576,0.311735,-1.94637);(0.921242,-0.314087,0.229518);(-182.982,3188.23,-288.979);(-1497.1,515.522,2665.71);(0.921674,-0.31273,0.229633);(2e-06,0.049535,-0.015973);(-0.003612,0.013016,-0.023961);2.0;0.0","(0.866576,0.311735,-1.94637)",NAVCAM_LEFT,CAHVORE
15,"(0.996207,0.00588069,-0.0132222,0.0858027)",NLE_0015_0668275956_042ECM_N0030188NCAM00400_04_0LLJ,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Mar. 6, 2021 (Sol 15) at the local mean solar time of 13:33:50.",Full,Sol-00015M13:33:50.884,NASA/JPL-Caltech,2021-03-06T09:43:31.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLE_0015_0668275956_042ECM_N0030188NCAM00400_04_0LLJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLE_0015_0668275956_042ECM_N0030188NCAM00400_04_0LLJ,188,Mars Perseverance Sol 15: Left Navigation Camera (Navcam),3,2021-03-06T10:13:12Z,51.8071,-12.7297,668275957.209,1,"(5.80078,2.95615,0.102654)","(3833,1,1288,968)","(1288,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275956_042ECM_N0030188NCAM00400_04_0LLJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275956_042ECM_N0030188NCAM00400_04_0LLJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275956_042ECM_N0030188NCAM00400_04_0LLJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275956_042ECM_N0030188NCAM00400_04_0LLJ01_1200.jpg,UNK,"(0.12311678702075268,0.9724232984323227,-0.1980787354051122)","(1.05937,0.538469,-1.94625);(0.592351,0.77276,0.227986);(-3079.0,846.438,-291.791);(732.851,971.928,3322.97);(0.591204,0.773604,0.228098);(2e-06,0.049535,-0.015973);(-0.003612,0.013016,-0.023961);2.0;0.0","(1.05937,0.538469,-1.94625)",NAVCAM_LEFT,CAHVORE
15,"(0.996207,0.00588069,-0.0132222,0.0858027)",NRE_0015_0668275956_042ECM_N0030188NCAM00400_03_0LLJ,"NASA's Mars Perseverance rover acquired this image using its onboard Right Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Mar. 6, 2021 (Sol 15) at the local mean solar time of 13:33:50.",Full,Sol-00015M13:33:50.884,NASA/JPL-Caltech,2021-03-06T09:43:29.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NRE_0015_0668275956_042ECM_N0030188NCAM00400_03_0LLJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NRE_0015_0668275956_042ECM_N0030188NCAM00400_03_0LLJ,188,Mars Perseverance Sol 15: Right Navigation Camera (Navcam),3,2021-03-06T10:13:12Z,52.1484,-12.5265,668275957.301,1,"(5.80078,2.95615,0.102654)","(2553,1,1296,968)","(1296,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NRE_0015_0668275956_042ECM_N0030188NCAM00400_03_0LLJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NRE_0015_0668275956_042ECM_N0030188NCAM00400_03_0LLJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NRE_0015_0668275956_042ECM_N0030188NCAM00400_03_0LLJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NRE_0015_0668275956_042ECM_N0030188NCAM00400_03_0LLJ01_1200.jpg,UNK,"(0.43544428994621803,0.8712657817312359,-0.226460168545138)","(0.72227,0.796279,-1.94703);(0.592775,0.772887,0.226449);(-2326.16,1817.33,0.335984);(744.01,978.947,3315.67);(0.59322,0.772767,0.225695);(0.0,0.05117,-0.018889);(0.001504,0.020873,-0.009439);2.0;0.0","(0.72227,0.796279,-1.94703)",NAVCAM_RIGHT,CAHVORE
15,"(0.996207,0.00588069,-0.0132222,0.0858027)",NRE_0015_0668275677_973ECM_N0030188NCAM00400_08_0LLJ,"NASA's Mars Perseverance rover acquired this image using its onboard Right Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Mar. 6, 2021 (Sol 15) at the local mean solar time of 13:29:20.",Full,Sol-00015M13:29:20.252,NASA/JPL-Caltech,2021-03-06T09:43:27.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NRE_0015_0668275677_973ECM_N0030188NCAM00400_08_0LLJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NRE_0015_0668275677_973ECM_N0030188NCAM00400_08_0LLJ,188,Mars Perseverance Sol 15: Right Navigation Camera (Navcam),3,2021-03-06T10:13:12Z,340.795,-12.616,668275679.222,1,"(5.80078,2.95615,0.102654)","(3833,953,1288,976)","(1288,976)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NRE_0015_0668275677_973ECM_N0030188NCAM00400_08_0LLJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NRE_0015_0668275677_973ECM_N0030188NCAM00400_08_0LLJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NRE_0015_0668275677_973ECM_N0030188NCAM00400_08_0LLJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NRE_0015_0668275677_973ECM_N0030188NCAM00400_08_0LLJ01_1200.jpg,UNK,"(0.970883428890176,0.23426988615263863,0.050029870562337556)","(1.00293,0.713618,-1.94648);(0.921501,-0.314446,0.227981);(-202.313,3187.95,-286.746);(281.67,-95.5007,3100.56);(0.921531,-0.314905,0.227227);(0.0,0.05117,-0.018889);(0.001504,0.020873,-0.009439);2.0;0.0","(1.00293,0.713618,-1.94648)",NAVCAM_RIGHT,CAHVORE
15,"(0.996207,0.00588069,-0.0132222,0.0858027)",NLE_0015_0668275677_973ECM_N0030188NCAM00400_12_0LLJ,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Mar. 6, 2021 (Sol 15) at the local mean solar time of 13:29:20.",Full,Sol-00015M13:29:20.252,NASA/JPL-Caltech,2021-03-06T09:43:24.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLE_0015_0668275677_973ECM_N0030188NCAM00400_12_0LLJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLE_0015_0668275677_973ECM_N0030188NCAM00400_12_0LLJ,188,Mars Perseverance Sol 15: Left Navigation Camera (Navcam),3,2021-03-06T10:13:12Z,340.453,-12.8188,668275679.037,1,"(5.80078,2.95615,0.102654)","(3833,1913,1288,976)","(1288,976)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275677_973ECM_N0030188NCAM00400_12_0LLJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275677_973ECM_N0030188NCAM00400_12_0LLJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275677_973ECM_N0030188NCAM00400_12_0LLJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275677_973ECM_N0030188NCAM00400_12_0LLJ01_1200.jpg,UNK,"(0.9147506852726649,0.25029165139213133,0.3171518138629981)","(0.866576,0.311735,-1.94637);(0.921242,-0.314087,0.229518);(-182.982,3188.23,-288.979);(-612.711,213.998,2886.05);(0.921674,-0.31273,0.229633);(2e-06,0.049535,-0.015973);(-0.003612,0.013016,-0.023961);2.0;0.0","(0.866576,0.311735,-1.94637)",NAVCAM_LEFT,CAHVORE
15,"(0.996207,0.00588069,-0.0132222,0.0858027)",NRE_0015_0668275677_973ECM_N0030188NCAM00400_12_0LLJ,"NASA's Mars Perseverance rover acquired this image using its onboard Right Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Mar. 6, 2021 (Sol 15) at the local mean solar time of 13:29:20.",Full,Sol-00015M13:29:20.252,NASA/JPL-Caltech,2021-03-06T09:43:24.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NRE_0015_0668275677_973ECM_N0030188NCAM00400_12_0LLJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NRE_0015_0668275677_973ECM_N0030188NCAM00400_12_0LLJ,188,Mars Perseverance Sol 15: Right Navigation Camera (Navcam),3,2021-03-06T10:13:12Z,340.795,-12.616,668275679.222,1,"(5.80078,2.95615,0.102654)","(3833,1913,1288,976)","(1288,976)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NRE_0015_0668275677_973ECM_N0030188NCAM00400_12_0LLJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NRE_0015_0668275677_973ECM_N0030188NCAM00400_12_0LLJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NRE_0015_0668275677_973ECM_N0030188NCAM00400_12_0LLJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NRE_0015_0668275677_973ECM_N0030188NCAM00400_12_0LLJ01_1200.jpg,UNK,"(0.9144602291326803,0.2548295804753994,0.31436344292766877)","(1.00293,0.713618,-1.94648);(0.921501,-0.314446,0.227981);(-202.313,3187.95,-286.746);(-602.971,206.368,2881.7);(0.921531,-0.314905,0.227227);(0.0,0.05117,-0.018889);(0.001504,0.020873,-0.009439);2.0;0.0","(1.00293,0.713618,-1.94648)",NAVCAM_RIGHT,CAHVORE
15,"(0.996207,0.00588069,-0.0132222,0.0858027)",NLE_0015_0668275677_973ECM_N0030188NCAM00400_07_0LLJ,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Mar. 6, 2021 (Sol 15) at the local mean solar time of 13:29:20.",Full,Sol-00015M13:29:20.252,NASA/JPL-Caltech,2021-03-06T09:43:20.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLE_0015_0668275677_973ECM_N0030188NCAM00400_07_0LLJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLE_0015_0668275677_973ECM_N0030188NCAM00400_07_0LLJ,188,Mars Perseverance Sol 15: Left Navigation Camera (Navcam),3,2021-03-06T10:13:12Z,340.453,-12.8188,668275679.037,1,"(5.80078,2.95615,0.102654)","(2553,953,1296,976)","(1296,976)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275677_973ECM_N0030188NCAM00400_07_0LLJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275677_973ECM_N0030188NCAM00400_07_0LLJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275677_973ECM_N0030188NCAM00400_07_0LLJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275677_973ECM_N0030188NCAM00400_07_0LLJ01_1200.jpg,UNK,"(0.9897019624052458,-0.1291958630573597,0.061631603744096757)","(0.866576,0.311735,-1.94637);(0.921242,-0.314087,0.229518);(996.207,2786.2,4.80418);(271.68,-87.5251,3106.39);(0.921674,-0.31273,0.229633);(2e-06,0.049535,-0.015973);(-0.003612,0.013016,-0.023961);2.0;0.0","(0.866576,0.311735,-1.94637)",NAVCAM_LEFT,CAHVORE
15,"(0.996207,0.00588069,-0.0132222,0.0858027)",NLE_0015_0668275677_973ECM_N0030188NCAM00400_03_0LLJ,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Mar. 6, 2021 (Sol 15) at the local mean solar time of 13:29:20.",Full,Sol-00015M13:29:20.252,NASA/JPL-Caltech,2021-03-06T09:43:15.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLE_0015_0668275677_973ECM_N0030188NCAM00400_03_0LLJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLE_0015_0668275677_973ECM_N0030188NCAM00400_03_0LLJ,188,Mars Perseverance Sol 15: Left Navigation Camera (Navcam),3,2021-03-06T10:13:12Z,340.453,-12.8188,668275679.037,1,"(5.80078,2.95615,0.102654)","(2553,1,1296,968)","(1296,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275677_973ECM_N0030188NCAM00400_03_0LLJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275677_973ECM_N0030188NCAM00400_03_0LLJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275677_973ECM_N0030188NCAM00400_03_0LLJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275677_973ECM_N0030188NCAM00400_03_0LLJ01_1200.jpg,UNK,"(0.9651811776045668,-0.1395394056869035,-0.22125561836574323)","(0.866576,0.311735,-1.94637);(0.921242,-0.314087,0.229518);(996.207,2786.2,4.80418);(1148.7,-386.536,3324.89);(0.921674,-0.31273,0.229633);(2e-06,0.049535,-0.015973);(-0.003612,0.013016,-0.023961);2.0;0.0","(0.866576,0.311735,-1.94637)",NAVCAM_LEFT,CAHVORE
15,"(0.996207,0.00588069,-0.0132222,0.0858027)",NLE_0015_0668275677_973ECM_N0030188NCAM00400_05_0LLJ,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Mar. 6, 2021 (Sol 15) at the local mean solar time of 13:29:20.",Full,Sol-00015M13:29:20.252,NASA/JPL-Caltech,2021-03-06T09:43:12.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLE_0015_0668275677_973ECM_N0030188NCAM00400_05_0LLJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLE_0015_0668275677_973ECM_N0030188NCAM00400_05_0LLJ,188,Mars Perseverance Sol 15: Left Navigation Camera (Navcam),3,2021-03-06T10:13:12Z,340.453,-12.8188,668275679.037,1,"(5.80078,2.95615,0.102654)","(1,953,1288,976)","(1288,976)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275677_973ECM_N0030188NCAM00400_05_0LLJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275677_973ECM_N0030188NCAM00400_05_0LLJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275677_973ECM_N0030188NCAM00400_05_0LLJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00015/ids/edr/browse/ncam/NLE_0015_0668275677_973ECM_N0030188NCAM00400_05_0LLJ01_1200.jpg,UNK,"(0.615652966248085,-0.7861762370371143,0.05383632108621299)","(0.866576,0.311735,-1.94637);(0.921242,-0.314087,0.229518);(3347.22,1984.65,590.535);(271.68,-87.5251,3106.39);(0.921674,-0.31273,0.229633);(2e-06,0.049535,-0.015973);(-0.003612,0.013016,-0.023961);2.0;0.0","(0.866576,0.311735,-1.94637)",NAVCAM_LEFT,CAHVORE
