sol,attitude,imageid,caption,sample_type,date_taken_mars,credit,date_taken_utc,json_link,link,drive,title,site,date_received,extended_mastAz,extended_mastEl,extended_sclk,extended_scaleFactor,extended_xyz,extended_subframeRect,extended_dimension,image_files_medium,image_files_small,image_files_full_res,image_files_large,camera_filter_name,camera_camera_vector,camera_camera_model_component_list,camera_camera_position,camera_instrument,camera_camera_model_type
20,"(0.43967,-0.00139028,0.0100708,0.898102)",NLF_0020_0668728666_168ECM_N0030770NCAM02020_01_295J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Mar. 11, 2021 (Sol 20) at the local mean solar time of 15:57:12.",Full,Sol-00020M15:57:12.340,NASA/JPL-Caltech,2021-03-11T13:36:51.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLF_0020_0668728666_168ECM_N0030770NCAM02020_01_295J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLF_0020_0668728666_168ECM_N0030770NCAM02020_01_295J,770,Mars Perseverance Sol 20: Left Navigation Camera (Navcam),3,2021-03-11T13:53:31Z,217.486,-29.9733,668728666.705,4,"(31.8232,55.9169,-0.122529)","(1,1,5120,3840)","(1280,960)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NLF_0020_0668728666_168ECM_N0030770NCAM02020_01_295J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NLF_0020_0668728666_168ECM_N0030770NCAM02020_01_295J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NLF_0020_0668728666_168ECM_N0030770NCAM02020_01_295J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NLF_0020_0668728666_168ECM_N0030770NCAM02020_01_295J01_1200.jpg,UNK,"(-0.6867008751273791,-0.5275006814492971,0.5001849049799674)","(0.562092,0.641228,-1.90398);(-0.676745,-0.53442,0.506386);(18.2883,-928.028,325.817);(-32.7655,-29.5473,883.419);(-0.675816,-0.535501,0.506484);(2e-06,0.049535,-0.015973);(-0.003612,0.013016,-0.023961);2.0;0.0","(0.562092,0.641228,-1.90398)",NAVCAM_LEFT,CAHVORE
20,"(0.43967,-0.00139028,0.0100708,0.898102)",NLF_0020_0668728577_477ECM_N0030770NCAM02020_01_295J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Mar. 11, 2021 (Sol 20) at the local mean solar time of 15:55:46.",Full,Sol-00020M15:55:46.021,NASA/JPL-Caltech,2021-03-11T13:36:43.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLF_0020_0668728577_477ECM_N0030770NCAM02020_01_295J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLF_0020_0668728577_477ECM_N0030770NCAM02020_01_295J,770,Mars Perseverance Sol 20: Left Navigation Camera (Navcam),3,2021-03-11T13:53:31Z,145.73,-29.0211,668728578.224,4,"(31.8232,55.9169,-0.122529)","(1,1,5120,3840)","(1280,960)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NLF_0020_0668728577_477ECM_N0030770NCAM02020_01_295J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NLF_0020_0668728577_477ECM_N0030770NCAM02020_01_295J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NLF_0020_0668728577_477ECM_N0030770NCAM02020_01_295J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NLF_0020_0668728577_477ECM_N0030770NCAM02020_01_295J01_1200.jpg,UNK,"(-0.7227391012947028,0.49165028926063514,0.485724391532543)","(0.806634,0.815822,-1.90601);(-0.726296,0.480082,0.491967);(-880.63,-304.527,315.407);(-51.2322,28.9869,882.559);(-0.727034,0.478862,0.492064);(2e-06,0.049535,-0.015973);(-0.003612,0.013016,-0.023961);2.0;0.0","(0.806634,0.815822,-1.90601)",NAVCAM_LEFT,CAHVORE
20,"(0.43967,-0.00139028,0.0100708,0.898102)",NRF_0020_0668728577_477ECM_N0030770NCAM02020_01_295J,"NASA's Mars Perseverance rover acquired this image using its onboard Right Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Mar. 11, 2021 (Sol 20) at the local mean solar time of 15:55:46.",Full,Sol-00020M15:55:46.021,NASA/JPL-Caltech,2021-03-11T13:36:25.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NRF_0020_0668728577_477ECM_N0030770NCAM02020_01_295J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NRF_0020_0668728577_477ECM_N0030770NCAM02020_01_295J,770,Mars Perseverance Sol 20: Right Navigation Camera (Navcam),3,2021-03-11T13:50:45Z,146.111,-28.8181,668728578.209,4,"(31.8232,55.9169,-0.122529)","(1,1,5120,3840)","(1280,960)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NRF_0020_0668728577_477ECM_N0030770NCAM02020_01_295J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NRF_0020_0668728577_477ECM_N0030770NCAM02020_01_295J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NRF_0020_0668728577_477ECM_N0030770NCAM02020_01_295J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NRF_0020_0668728577_477ECM_N0030770NCAM02020_01_295J01_1200.jpg,UNK,"(-0.7274151600804443,0.4877914571174986,0.4826247810135005)","(0.572423,0.461922,-1.90771);(-0.726798,0.480728,0.490593);(-876.438,-305.053,313.363);(-53.497,31.8648,881.676);(-0.726878,0.481294,0.489919);(0.0,0.05117,-0.018889);(0.001504,0.020873,-0.009439);2.0;0.0","(0.572423,0.461922,-1.90771)",NAVCAM_RIGHT,CAHVORE
20,"(0.43967,-0.00139028,0.0100708,0.898102)",NRF_0020_0668728666_168ECM_N0030770NCAM02020_01_295J,"NASA's Mars Perseverance rover acquired this image using its onboard Right Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Mar. 11, 2021 (Sol 20) at the local mean solar time of 15:57:12.",Full,Sol-00020M15:57:12.340,NASA/JPL-Caltech,2021-03-11T13:36:08.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NRF_0020_0668728666_168ECM_N0030770NCAM02020_01_295J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NRF_0020_0668728666_168ECM_N0030770NCAM02020_01_295J,770,Mars Perseverance Sol 20: Right Navigation Camera (Navcam),3,2021-03-11T13:50:45Z,217.87,-29.7709,668728666.705,4,"(31.8232,55.9169,-0.122529)","(1,1,5120,3840)","(1280,960)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NRF_0020_0668728666_168ECM_N0030770NCAM02020_01_295J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NRF_0020_0668728666_168ECM_N0030770NCAM02020_01_295J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NRF_0020_0668728666_168ECM_N0030770NCAM02020_01_295J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NRF_0020_0668728666_168ECM_N0030770NCAM02020_01_295J01_1200.jpg,UNK,"(-0.6845323853946679,-0.5331824043348489,0.49712366374333444)","(0.825167,0.308222,-1.90509);(-0.677532,-0.534711,0.505025);(20.0715,-924.234,323.708);(-36.2169,-30.8102,882.592);(-0.678103,-0.534618,0.504357);(0.0,0.05117,-0.018889);(0.001504,0.020873,-0.009439);2.0;0.0","(0.825167,0.308222,-1.90509)",NAVCAM_RIGHT,CAHVORE
20,"(0.43967,-0.00139028,0.0100708,0.898102)",NRF_0020_0668728366_634ECM_N0030770NCAM03020_01_295J,"NASA's Mars Perseverance rover acquired this image using its onboard Right Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Mar. 11, 2021 (Sol 20) at the local mean solar time of 15:52:20.",Full,Sol-00020M15:52:20.817,NASA/JPL-Caltech,2021-03-11T13:34:33.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NRF_0020_0668728366_634ECM_N0030770NCAM03020_01_295J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NRF_0020_0668728366_634ECM_N0030770NCAM03020_01_295J,770,Mars Perseverance Sol 20: Right Navigation Camera (Navcam),3,2021-03-11T13:48:42Z,2.75021,-30.5016,668728368.472,4,"(31.8232,55.9169,-0.122529)","(1,1,5120,3840)","(1280,960)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NRF_0020_0668728366_634ECM_N0030770NCAM03020_01_295J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NRF_0020_0668728366_634ECM_N0030770NCAM03020_01_295J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NRF_0020_0668728366_634ECM_N0030770NCAM03020_01_295J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NRF_0020_0668728366_634ECM_N0030770NCAM03020_01_295J01_1200.jpg,UNK,"(0.8602475022989934,0.042001816385717296,0.5081437613595622)","(0.932734,0.776562,-1.90326);(0.8553,0.0472697,0.515988);(510.968,767.311,330.972);(36.1211,3.52383,883.127);(0.855722,0.0468661,0.515325);(0.0,0.05117,-0.018889);(0.001504,0.020873,-0.009439);2.0;0.0","(0.932734,0.776562,-1.90326)",NAVCAM_RIGHT,CAHVORE
20,"(0.43967,-0.00139028,0.0100708,0.898102)",RLF_0020_0668728254_291ECM_N0030770RHAZ02002_01_295J,"NASA's Mars Perseverance rover acquired this image of the area in back of it using its onboard Rear Left Hazard Avoidance Camera. 

This image was acquired on Mar. 11, 2021 (Sol 20) at the local mean solar time of 15:50:31.",Full,Sol-00020M15:50:31.480,NASA/JPL-Caltech,2021-03-11T13:34:31.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=RLF_0020_0668728254_291ECM_N0030770RHAZ02002_01_295J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=RLF_0020_0668728254_291ECM_N0030770RHAZ02002_01_295J,770,Mars Perseverance Sol 20: Rear Left Hazard Avoidance Camera (Hazcam),3,2021-03-11T13:48:42Z,179.284,-44.8684,668728255.453,4,"(31.8232,55.9169,-0.122529)","(1,1,5120,3840)","(1280,960)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/rcam/RLF_0020_0668728254_291ECM_N0030770RHAZ02002_01_295J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/rcam/RLF_0020_0668728254_291ECM_N0030770RHAZ02002_01_295J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/rcam/RLF_0020_0668728254_291ECM_N0030770RHAZ02002_01_295J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/rcam/RLF_0020_0668728254_291ECM_N0030770RHAZ02002_01_295J01_1200.jpg,UNK,"(-0.7080268111116148,0.007916311144338632,0.7061411804766693)","(-1.04711,0.466977,-0.730608);(-0.703458,0.00398837,0.710725);(-454.574,-533.591,456.502);(43.2422,0.681172,723.081);(-0.700545,0.00407406,0.713597);(1.668e-05,0.0220681,-0.0108751);(0.0032911,0.00694844,0.00616767);2.0;0.0","(-1.04711,0.466977,-0.730608)",REAR_HAZCAM_LEFT,CAHVORE
20,"(0.43967,-0.00139028,0.0100708,0.898102)",RRF_0020_0668728254_291ECM_N0030770RHAZ02002_01_295J,"NASA's Mars Perseverance rover acquired this image of the area in back of it using its onboard Rear Right Hazard Avoidance Camera. 

This image was acquired on Mar. 11, 2021 (Sol 20) at the local mean solar time of 15:50:31.",Full,Sol-00020M15:50:31.480,NASA/JPL-Caltech,2021-03-11T13:34:20.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=RRF_0020_0668728254_291ECM_N0030770RHAZ02002_01_295J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=RRF_0020_0668728254_291ECM_N0030770RHAZ02002_01_295J,770,Mars Perseverance Sol 20: Rear Right Hazard Avoidance Camera (Hazcam),3,2021-03-11T13:48:42Z,180.213,-45.2782,668728255.171,4,"(31.8232,55.9169,-0.122529)","(1,1,5120,3840)","(1280,960)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/rcam/RRF_0020_0668728254_291ECM_N0030770RHAZ02002_01_295J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/rcam/RRF_0020_0668728254_291ECM_N0030770RHAZ02002_01_295J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/rcam/RRF_0020_0668728254_291ECM_N0030770RHAZ02002_01_295J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/rcam/RRF_0020_0668728254_291ECM_N0030770RHAZ02002_01_295J01_1200.jpg,UNK,"(-0.7030021032033793,-0.003551681763577144,0.7111789004521122)","(-1.05782,-0.466472,-0.724517);(-0.702572,0.0113481,0.711523);(-448.981,-528.002,453.359);(46.176,2.97867,720.521);(-0.701049,0.00940617,0.713051);(8.39e-06,0.0168764,-0.00743155);(-0.00878744,-0.00869157,-0.00676256);2.0;0.0","(-1.05782,-0.466472,-0.724517)",REAR_HAZCAM_RIGHT,CAHVORE
20,"(0.43967,-0.00139028,0.0100708,0.898102)",NLF_0020_0668728525_175ECM_N0030770NCAM03020_01_295J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Mar. 11, 2021 (Sol 20) at the local mean solar time of 15:54:55.",Full,Sol-00020M15:54:55.118,NASA/JPL-Caltech,2021-03-11T13:34:18.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLF_0020_0668728525_175ECM_N0030770NCAM03020_01_295J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLF_0020_0668728525_175ECM_N0030770NCAM03020_01_295J,770,Mars Perseverance Sol 20: Left Navigation Camera (Navcam),3,2021-03-11T13:48:42Z,74.4844,-29.3441,668728526.603,4,"(31.8232,55.9169,-0.122529)","(1,1,5120,3840)","(1280,960)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NLF_0020_0668728525_175ECM_N0030770NCAM03020_01_295J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NLF_0020_0668728525_175ECM_N0030770NCAM03020_01_295J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NLF_0020_0668728525_175ECM_N0030770NCAM03020_01_295J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NLF_0020_0668728525_175ECM_N0030770NCAM03020_01_295J01_1200.jpg,UNK,"(0.23243817165944644,0.8397846499234808,0.49064675491488835)","(1.04824,0.640251,-1.90525);(0.220332,0.839397,0.496872);(-571.997,734.143,318.717);(9.83941,52.9795,882.877);(0.21894,0.839704,0.496969);(2e-06,0.049535,-0.015973);(-0.003612,0.013016,-0.023961);2.0;0.0","(1.04824,0.640251,-1.90525)",NAVCAM_LEFT,CAHVORE
20,"(0.43967,-0.00139028,0.0100708,0.898102)",NRF_0020_0668728735_567ECM_N0030770NCAM00305_04_195J,"NASA's Mars Perseverance rover acquired this image using its onboard Right Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Mar. 11, 2021 (Sol 20) at the local mean solar time of 15:58:19.",Full,Sol-00020M15:58:19.883,NASA/JPL-Caltech,2021-03-11T13:34:06.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NRF_0020_0668728735_567ECM_N0030770NCAM00305_04_195J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NRF_0020_0668728735_567ECM_N0030770NCAM00305_04_195J,770,Mars Perseverance Sol 20: Right Navigation Camera (Navcam),3,2021-03-11T13:48:42Z,54.0094,-29.918,668728737.236,2,"(31.8232,55.9169,-0.122529)","(2545,1905,2576,1936)","(1288,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NRF_0020_0668728735_567ECM_N0030770NCAM00305_04_195J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NRF_0020_0668728735_567ECM_N0030770NCAM00305_04_195J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NRF_0020_0668728735_567ECM_N0030770NCAM00305_04_195J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NRF_0020_0668728735_567ECM_N0030770NCAM00305_04_195J01_1200.jpg,UNK,"(0.05556582162066108,0.725405092314878,0.6860757184970652)","(0.715815,0.79517,-1.90493);(0.501426,0.70093,0.507232);(-1190.49,872.496,3.99304);(-428.536,-590.385,1282.79);(0.502002,0.701,0.506565);(0.0,0.05117,-0.018889);(0.001504,0.020873,-0.009439);2.0;0.0","(0.715815,0.79517,-1.90493)",NAVCAM_RIGHT,CAHVORE
20,"(0.43967,-0.00139028,0.0100708,0.898102)",NLF_0020_0668728735_567ECM_N0030770NCAM00305_04_195J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Mar. 11, 2021 (Sol 20) at the local mean solar time of 15:58:19.",Full,Sol-00020M15:58:19.883,NASA/JPL-Caltech,2021-03-11T13:34:04.000,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLF_0020_0668728735_567ECM_N0030770NCAM00305_04_195J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLF_0020_0668728735_567ECM_N0030770NCAM00305_04_195J,770,Mars Perseverance Sol 20: Left Navigation Camera (Navcam),3,2021-03-11T13:48:42Z,53.6243,-30.1208,668728737.231,2,"(31.8232,55.9169,-0.122529)","(2545,1905,2576,1936)","(1288,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NLF_0020_0668728735_567ECM_N0030770NCAM00305_04_195J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NLF_0020_0668728735_567ECM_N0030770NCAM00305_04_195J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NLF_0020_0668728735_567ECM_N0030770NCAM00305_04_195J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00020/ids/edr/browse/ncam/NLF_0020_0668728735_567ECM_N0030770NCAM00305_04_195J01_1200.jpg,UNK,"(0.05938596324583846,0.7224231280241994,0.6888963140161916)","(1.06096,0.548239,-1.90343);(0.500748,0.70043,0.508591);(-1188.32,881.405,6.49947);(-433.825,-594.254,1283.13);(0.499555,0.701211,0.508688);(2e-06,0.049535,-0.015973);(-0.003612,0.013016,-0.023961);2.0;0.0","(1.06096,0.548239,-1.90343)",NAVCAM_LEFT,CAHVORE
